t_rel_s,label,rms_m
85.815,screen,0.000702
85.855,screen,0.000698
85.895,screen,0.000667
85.936,screen,0.000648
85.976,screen,0.000603
86.016,screen,0.000583
86.056,screen,0.000571
86.096,screen,0.000579
86.137,screen,0.000596
86.177,screen,0.000637
86.216,screen,0.000701
86.257,screen,0.000825
86.297,screen,0.000925
86.336,screen,0.000999
86.379,screen,0.001016
86.419,screen,0.000963
86.458,screen,0.000958
86.497,screen,0.000978
86.537,screen,0.001008
86.579,screen,0.001152
86.616,screen,0.001186
86.659,screen,0.001184
86.698,screen,0.001146
86.742,screen,0.001134
86.779,screen,0.001052
86.817,screen,0.000961
86.859,screen,0.000872
86.899,screen,0.000820
86.940,screen,0.000745
86.980,screen,0.000732
87.019,screen,0.000664
87.060,screen,0.000611
87.100,screen,0.000624
87.140,screen,0.000836
87.181,screen,0.001065
87.220,screen,0.001209
87.258,screen,0.001441
87.300,screen,0.001848
87.341,screen,0.001724
87.381,screen,0.001746
87.421,screen,0.001811
87.463,screen,0.001675
87.500,screen,0.001549
87.542,screen,0.001466
87.583,screen,0.001341
87.622,screen,0.001285
87.662,screen,0.001203
87.700,screen,0.001095
87.743,screen,0.001018
87.780,screen,0.000935
87.819,screen,0.000743
87.860,screen,0.000699
87.899,screen,0.000768
87.941,screen,0.000881
88.461,screen,0.000731
88.500,screen,0.000685
88.540,screen,0.000748
88.581,screen,0.000702
88.622,screen,0.000721
88.662,screen,0.000652
88.703,screen,0.000594
88.746,screen,0.000576
88.783,screen,0.000549
88.826,screen,0.000541
88.866,screen,0.000519
88.906,screen,0.000487
88.948,screen,0.000494
88.988,screen,0.000476
89.026,screen,0.000479
89.065,screen,0.000479
89.109,screen,0.000473
89.147,screen,0.000539
89.188,screen,0.000517
89.230,screen,0.000519
89.267,screen,0.000503
89.310,screen,0.000481
89.347,screen,0.000483
89.388,screen,0.000459
89.426,screen,0.000448
89.471,screen,0.000443
89.509,screen,0.000430
89.549,screen,0.000427
89.589,screen,0.000434
89.630,screen,0.000444
89.667,screen,0.000442
89.710,screen,0.000485
89.749,screen,0.000502
89.791,screen,0.000520
89.829,screen,0.000506
89.869,screen,0.000553
89.912,screen,0.000547
89.950,screen,0.000488
89.994,screen,0.000512
90.029,screen,0.000490
90.069,screen,0.000477
90.110,screen,0.000515
90.148,screen,0.000505
90.193,screen,0.000515
90.231,screen,0.000599
90.270,screen,0.000552
90.311,screen,0.000569
90.351,screen,0.000596
90.392,screen,0.000553
90.439,screen,0.000520
90.472,screen,0.000514
90.512,screen,0.000499
90.551,screen,0.000504
90.592,screen,0.000525
90.631,screen,0.000602
90.674,screen,0.000610
90.713,screen,0.000613
90.754,screen,0.000576
90.794,screen,0.000572
90.832,screen,0.000534
90.867,screen,0.000499
90.910,screen,0.000559
90.954,screen,0.000558
90.996,screen,0.000527
91.033,screen,0.000572
91.073,screen,0.000579
91.111,screen,0.000626
91.153,screen,0.000596
91.197,screen,0.000588
91.235,screen,0.000588
91.276,screen,0.000574
91.316,screen,0.000544
91.358,screen,0.000519
91.396,screen,0.000489
91.436,screen,0.000493
91.476,screen,0.000495
91.518,screen,0.000472
91.557,screen,0.000473
91.597,screen,0.000502
91.636,screen,0.000474
91.679,screen,0.000557
91.715,screen,0.000605
91.758,screen,0.000656
91.798,screen,0.000648
91.836,screen,0.000681
